ticket	name	industry	price
PAI	Pacific American Income Shares, Inc.	n/a	$22.00
SNI	Scripps Networks Interactive, Inc	Television Services	$23.88
HCKT	The Hackett Group, Inc.	Professional Services	$43.41
CMC	Commercial Metals Company	Steel/Iron Ore	$33.38
FARO	FARO Technologies, Inc.	Industrial Machinery/Components	$12.52
ELEC	Electrum Special Acquisition Corporation	Business Services	$40.92
AMRK	A-Mark Precious Metals, Inc.	Other Specialty Stores	$21.27
ARR^A	ARMOUR Residential REIT, Inc.	n/a	$26.62
PSCE	PowerShares S&P SmallCap Energy Portfolio	n/a	$40.49
ADSW	Advanced Disposal Services, Inc.	Environmental Services	$42.16
DAL	Delta Air Lines, Inc.	Air Freight/Delivery Services	$25.89
BAC^E	Bank of America Corporation	n/a	$38.19
FTXN	First Trust Nasdaq Oil & Gas ETF	n/a	$18.34
HNNA	Hennessy Advisors, Inc.	Investment Managers	$27.48
AXP	American Express Company	Finance: Consumer Services	$46.90
KAI	Kadant Inc	Industrial Machinery/Components	$17.76
TA	TravelCenters of America LLC	Automotive Aftermarket	$19.47
TRNO	Terreno Realty Corporation	Real Estate	$14.62
TRIB	Trinity Biotech plc	Biotechnology: In Vitro & In Vivo Diagnostic Substances	$46.68
PCQ	PIMCO California Municipal Income Fund	n/a	$20.83
COHR	Coherent, Inc.	Biotechnology: Laboratory Analytical Instruments	$11.99
SONS	Sonus Networks, Inc.	EDP Services	$12.62
GGP^A	GGP Inc.	Real Estate Investment Trusts	$30.56
TWTR	Twitter, Inc.	Computer Software: Programming, Data Processing	$42.80
VIAV	Viavi Solutions Inc.	Semiconductors	$44.31
BC	Brunswick Corporation	Industrial Machinery/Components	$42.07
EVAR	Lombard Medical, Inc.	Medical/Dental Instruments	$10.16
AR	Antero Resources Corporation	Oil & Gas Production	$23.03
SXE	Southcross Energy Partners, L.P.	Natural Gas Distribution	$19.61
PTNR	Partner Communications Company Ltd.	Telecommunications Equipment	$45.43
GMS	GMS Inc.	RETAIL: Building Materials	$32.00
EPC	Energizer Holdings, Inc.	Package Goods/Cosmetics	$21.42
RAI	Reynolds American Inc	Farming/Seeds/Milling	$14.40
CW	Curtiss-Wright Corporation	Industrial Machinery/Components	$43.40
IMMU	Immunomedics, Inc.	Biotechnology: In Vitro & In Vivo Diagnostic Substances	$48.84
BMY	Bristol-Myers Squibb Company	Major Pharmaceuticals	$31.62
TPB	Turning Point Brands, Inc.	Tobacco	$44.16
PLNT	Planet Fitness, Inc.	Hotels/Resorts	$29.86
CIDM	Cinedigm Corp	Consumer Electronics/Video Chains	$48.84
MTW	Manitowoc Company, Inc. (The)	Construction/Ag Equipment/Trucks	$35.48
OESX	Orion Energy Systems, Inc.	Building Products	$31.06
MVC	MVC Capital, Inc.	n/a	$43.29
BXP	Boston Properties, Inc.	Real Estate Investment Trusts	$44.80
PII	Polaris Industries Inc.	Industrial Specialties	$45.20
ESV	ENSCO plc	Oil & Gas Production	$36.67
VALE	VALE S.A.	Precious Metals	$14.04
INWK	InnerWorkings, Inc.	Containers/Packaging	$16.03
HII	Huntington Ingalls Industries, Inc.	Marine Transportation	$45.86
CNC	Centene Corporation	Medical Specialities	$21.26
PSA^F	Public Storage	Real Estate Investment Trusts	$22.93
DKT	Deutsch Bk Contingent Cap Tr V	Major Banks	$25.44
UNP	Union Pacific Corporation	Railroads	$32.84
PINC	Premier, Inc.	Other Consumer Services	$12.67
TLND	Talend S.A.	Computer Software: Prepackaged Software	$18.47
KW	Kennedy-Wilson Holdings Inc.	Real Estate	$40.10
CRZO	Carrizo Oil & Gas, Inc.	Oil & Gas Production	$38.03
SPKEP	Spark Energy, Inc.	Power Generation	$41.10
SEED	Origin Agritech Limited	Farming/Seeds/Milling	$15.01
PNF	PIMCO New York Municipal Income Fund	n/a	$47.72
HE^U	Hawaiian Electric Industries, Inc.	n/a	$40.00
OKSB	Southwest Bancorp, Inc.	Major Banks	$19.84
EACQU	Easterly Acquisition Corp.	Building Products	$13.39
SEAC	SeaChange International, Inc.	Radio And Television Broadcasting And Communications Equipment	$29.15
BHK	Blackrock Core Bond Trust	n/a	$39.88
NXTDW	NXT-ID Inc.	Diversified Commercial Services	$25.19
FUEL	Rocket Fuel Inc.	Computer Software: Programming, Data Processing	$45.17
KMB	Kimberly-Clark Corporation	Containers/Packaging	$24.96
PEY	PowerShares High Yield Equity Dividend Achievers Portfolio	n/a	$47.47
REXR	Rexford Industrial Realty, Inc.	Real Estate Investment Trusts	$48.58
MSA	MSA Safety Incorporporated	Industrial Specialties	$35.01
MTB^	M&T Bank Corporation	n/a	$10.88
MAUI	AdvisorShares Market Adaptive Unconstrained Income ETF	n/a	$41.80
IFMK	iFresh Inc.	Food Chains	$12.60
OBCI	Ocean Bio-Chem, Inc.	Specialty Chemicals	$38.65
FTRPR	Frontier Communications Corporation	Telecommunications Equipment	$16.83
DECK	Deckers Outdoor Corporation	Shoe Manufacturing	$42.78
PEBO	Peoples Bancorp Inc.	Major Banks	$49.55
BNS	Bank of Nova Scotia (The)	Major Banks	$42.44
PNW	Pinnacle West Capital Corporation	Electric Utilities: Central	$15.47
QUOT	Quotient Technology Inc.	Advertising	$10.98
COF	Capital One Financial Corporation	Major Banks	$10.32
AFSI	AmTrust Financial Services, Inc.	Property-Casualty Insurers	$17.89
MTCH	Match Group, Inc.	Computer Software: Programming, Data Processing	$11.00
ATSG	Air Transport Services Group, Inc	Air Freight/Delivery Services	$18.87
JSD	Nuveen Short Duration Credit Opportunities Fund	n/a	$38.62
PESI	Perma-Fix Environmental Services, Inc.	Environmental Services	$17.39
KITE	Kite Pharma, Inc.	Biotechnology: Biological Products (No Diagnostic Substances)	$29.64
SITO	SITO Mobile, Ltd.	Business Services	$46.64
STT^D	State Street Corporation	n/a	$32.80
WFT	Weatherford International plc	Metal Fabrications	$31.53
GROW	U.S. Global Investors, Inc.	Investment Managers	$26.56
PCF	Putnam High Income Bond Fund	n/a	$43.46
NVCN	Neovasc Inc.	Medical/Dental Instruments	$38.34
VGLT	Vanguard Long-Term Government Bond ETF	n/a	$39.61
AMCX	AMC Networks Inc.	Television Services	$26.44
WTW	Weight Watchers International Inc	Other Consumer Services	$35.11
PVAC	Penn Virginia Corporation	Oil & Gas Production	$23.29
ADHD	Alcobra Ltd.	Major Pharmaceuticals	$12.84
FCA	First Trust China AlphaDEX Fund	n/a	$24.24
FTV	Fortive Corporation	Industrial Machinery/Components	$43.19
ALT	Altimmune, Inc.	Major Pharmaceuticals	$12.05
CCL	Carnival Corporation	Marine Transportation	$23.70
APPS	Digital Turbine, Inc.	Multi-Sector Companies	$30.01
KEX	Kirby Corporation	Marine Transportation	$13.26
HIE	Miller/Howard High Income Equity Fund	n/a	$45.98
EARN	Ellington Residential Mortgage REIT	Real Estate Investment Trusts	$46.75
RY^S	Royal Bank Of Canada	n/a	$21.85
AQB	AquaBounty Technologies, Inc.	n/a	$34.33
GUT	Gabelli Utility Trust (The)	n/a	$42.13
NTGR	NETGEAR, Inc.	Telecommunications Equipment	$49.54
AVNW	Aviat Networks, Inc.	Radio And Television Broadcasting And Communications Equipment	$15.35
EMR	Emerson Electric Company	Consumer Electronics/Appliances	$26.88
SMED	Sharps Compliance Corp	Environmental Services	$45.24
ERIC	Ericsson	Radio And Television Broadcasting And Communications Equipment	$36.20
SYRS	Syros Pharmaceuticals, Inc.	Major Pharmaceuticals	$40.31
TAST	Carrols Restaurant Group, Inc.	Restaurants	$29.24
IPGP	IPG Photonics Corporation	Semiconductors	$45.54
CVE	Cenovus Energy Inc	Oil & Gas Production	$39.84
WF	Woori Bank	Commercial Banks	$17.59
WAB	Westinghouse Air Brake Technologies Corporation	Railroads	$26.08
IHIT	Invesco High Income 2023 Target Term Fund	n/a	$44.40
AU	AngloGold Ashanti Limited	Precious Metals	$37.24
ANDE	The Andersons, Inc.	Farming/Seeds/Milling	$17.94
TSM	Taiwan Semiconductor Manufacturing Company Ltd.	Semiconductors	$20.14
FTSM	First Trust Enhanced Short Maturity ETF	n/a	$22.90
EFR	Eaton Vance Senior Floating-Rate Fund	n/a	$27.07
SXCP	SunCoke Energy Partners, L.P.	Steel/Iron Ore	$17.79
JELD	JELD-WEN Holding, Inc.	Forest Products	$27.16
MNKD	MannKind Corporation	Major Pharmaceuticals	$46.43
BIDU	Baidu, Inc.	Computer Software: Programming, Data Processing	$26.26
GNC	GNC Holdings, Inc.	Food Chains	$43.98
PTCT	PTC Therapeutics, Inc.	Major Pharmaceuticals	$11.82
PJT	PJT Partners Inc.	Investment Managers	$19.40
CPTAG	Capitala Finance Corp.	n/a	$10.27
SSYS	Stratasys, Ltd.	Computer peripheral equipment	$46.91
G	Genpact Limited	Professional Services	$31.90
AGNC	AGNC Investment Corp.	Real Estate Investment Trusts	$35.12
ZTO	ZTO Express (Cayman) Inc.	Trucking Freight/Courier Services	$21.10
ENZL	iShares MSCI New Zealand Capped ETF	n/a	$22.34
HEI.A	Heico Corporation	n/a	$31.17
BGR	BlackRock Energy and Resources Trust	n/a	$12.77
IART	Integra LifeSciences Holdings Corporation	Biotechnology: Laboratory Analytical Instruments	$28.32
QTRH	Quarterhill Inc.	Multi-Sector Companies	$41.46
AYX	Alteryx, Inc.	Computer Software: Prepackaged Software	$36.95
RTEC	Rudolph Technologies, Inc.	Industrial Machinery/Components	$40.06
LKQ	LKQ Corporation	Motor Vehicles	$16.35
FLIC	The First of Long Island Corporation	Major Banks	$47.20
EGO	Eldorado Gold Corporation	Precious Metals	$31.77
HL	Hecla Mining Company	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	$21.26
SAEX	SAExploration Holdings, Inc.	Oil & Gas Production	$19.03
CVGI	Commercial Vehicle Group, Inc.	Auto Parts:O.E.M.	$48.15
PFGC	Performance Food Group Company	Food Distributors	$22.62
TPIC	TPI Composites, Inc.	Industrial Machinery/Components	$44.19
SUN	Sunoco LP	Oil Refining/Marketing	$35.73
CUBI^E	Customers Bancorp, Inc	n/a	$22.20
XELB	Xcel Brands, Inc	Multi-Sector Companies	$32.46
HFC	HollyFrontier Corporation	Integrated oil Companies	$39.91
HBMD	Howard Bancorp, Inc.	Major Banks	$40.02
HMNF	HMN Financial, Inc.	Savings Institutions	$44.59
TSO	Tesoro Corporation	Integrated oil Companies	$44.50
XIV	VelocityShares Daily Inverse VIX Short-Term ETN	Investment Bankers/Brokers/Service	$37.55
PERI	Perion Network Ltd	EDP Services	$17.97
DGICB	Donegal Group, Inc.	Property-Casualty Insurers	$43.22
SCHW^B	The Charles Schwab Corporation	n/a	$18.90
MHF	Western Asset Municipal High Income Fund, Inc.	n/a	$15.45
KONE	Kingtone Wirelessinfo Solution Holding Ltd	EDP Services	$23.42
ALLY	Ally Financial Inc.	Finance: Consumer Services	$14.72
DCO	Ducommun Incorporated	Military/Government/Technical	$47.59
PRAN	Prana Biotechnology Ltd	Major Pharmaceuticals	$38.55
CMD	Cantel Medical Corp.	Medical/Dental Instruments	$13.55
MGIC	Magic Software Enterprises Ltd.	Computer Software: Prepackaged Software	$43.88
RPRX	Repros Therapeutics Inc.	Biotechnology: Biological Products (No Diagnostic Substances)	$41.26
NDRO	Enduro Royalty Trust	Oil & Gas Production	$41.96
GRIF	Griffin Industrial Realty, Inc.	Real Estate	$19.06
KF	Korea Fund, Inc. (The)	n/a	$13.97
BKU	BankUnited, Inc.	Savings Institutions	$22.69
TAP	Molson Coors Brewing  Company	Beverages (Production/Distribution)	$48.43
VPG	Vishay Precision Group, Inc.	Electrical Products	$12.41
CXW	CoreCivic, Inc.	Real Estate Investment Trusts	$11.36
ASC	Ardmore Shipping Corporation	Marine Transportation	$35.68
SANM	Sanmina Corporation	Electrical Products	$46.83
GD	General Dynamics Corporation	Marine Transportation	$37.92
TAC	TransAlta Corporation	Electric Utilities: Central	$16.66
EXD	Eaton Vance Tax-Advantaged Bond	n/a	$44.88
PTF	PowerShares DWA Technology Momenum Portfolio	n/a	$33.88
APTS	Preferred Apartment Communities, Inc.	Real Estate Investment Trusts	$48.65
MBT	Mobile TeleSystems OJSC	Telecommunications Equipment	$28.31
QPACU	Quinpario Acquisition Corp. 2	Business Services	$17.88
ANTM	Anthem, Inc.	Medical Specialities	$35.14
NWLI	National Western Life Group, Inc.	Life Insurance	$12.19
PSO	Pearson, Plc	Books	$41.11
PFBX	Peoples Financial Corporation	Major Banks	$43.99
AVAL	Grupo Aval Acciones y Valores S.A.	Commercial Banks	$16.23
SPLP	Steel Partners Holdings LP	Industrial Specialties	$45.13
WFC	Wells Fargo & Company	Major Banks	$21.20
RLGY	Realogy Holdings Corp.	Real Estate	$35.73
EL	Estee Lauder Companies, Inc. (The)	Package Goods/Cosmetics	$36.29
PJC	Piper Jaffray Companies	Investment Bankers/Brokers/Service	$19.87
DL	China Distance Education Holdings Limited	Other Consumer Services	$18.71
MHLD	Maiden Holdings, Ltd.	Property-Casualty Insurers	$19.86
OUT	OUTFRONT Media Inc.	Real Estate Investment Trusts	$39.30
LDR	Landauer, Inc.	Industrial Machinery/Components	$37.10
AGNC	AGNC Investment Corp.	Real Estate Investment Trusts	$44.01
BSFT	BroadSoft, Inc.	Computer Software: Prepackaged Software	$41.34
CYS^A	CYS Investments, Inc.	n/a	$44.00
FRBA	First Bank	n/a	$34.13
WAFDW	Washington Federal, Inc.	Major Banks	$37.66
AEP	American Electric Power Company, Inc.	Electric Utilities: Central	$47.47
AAXN	Axon Enterprise, Inc.	Ordnance And Accessories	$37.94
PEP	Pepsico, Inc.	Beverages (Production/Distribution)	$49.30
RDC	Rowan Companies plc	Oil & Gas Production	$32.74
UVSP	Univest Corporation of Pennsylvania	Major Banks	$32.98
CNP	CenterPoint Energy, Inc.	Electric Utilities: Central	$41.11
TOWR	Tower International, Inc.	Auto Parts:O.E.M.	$23.78
MRDN	Meridian Waste Solutions, Inc	Miscellaneous	$44.45
DRQ	Dril-Quip, Inc.	Metal Fabrications	$16.11
HT^E	Hersha Hospitality Trust	n/a	$18.89
CDOR	Condor Hospitality Trust, Inc.	Real Estate Investment Trusts	$21.94
SENEA	Seneca Foods Corp.	Packaged Foods	$24.13
IVZ	Invesco Plc	Investment Managers	$45.97
BUFF	Blue Buffalo Pet Products, Inc.	Packaged Foods	$49.28
LAWS	Lawson Products, Inc.	Industrial Specialties	$41.95
DDR	DDR Corp.	Real Estate Investment Trusts	$28.25
ATOM	Atomera Incorporated	Semiconductors	$16.56
AFA	American Financial Group, Inc.	Property-Casualty Insurers	$10.40
LMNR	Limoneira Co	Farming/Seeds/Milling	$44.86
RF^A	Regions Financial Corporation	n/a	$47.87
INDB	Independent Bank Corp.	Major Banks	$31.26
ADNT	Adient plc	Auto Parts:O.E.M.	$27.71
GSBC	Great Southern Bancorp, Inc.	Major Banks	$38.22
VRIG	PowerShares Variable Rate Investment Grade Portfolio	n/a	$32.75
RVT	Royce Value Trust, Inc.	n/a	$29.89
AGO	Assured Guaranty Ltd.	Property-Casualty Insurers	$33.42
WPZ	Williams Partners LP	Natural Gas Distribution	$49.52
JBLU	JetBlue Airways Corporation	Air Freight/Delivery Services	$26.62
ELS	Equity Lifestyle Properties, Inc.	Real Estate Investment Trusts	$33.17
WBS	Webster Financial Corporation	Major Banks	$45.10
PVTBP	PrivateBancorp, Inc.	Major Banks	$23.79
DL	China Distance Education Holdings Limited	Other Consumer Services	$24.33
RILYZ	B. Riley Financial, Inc.	Business Services	$10.56
AFW.CL	American Financial Group, Inc.	n/a	$31.76
ANH^C	Anworth Mortgage Asset  Corporation	n/a	$49.68
EDBI	Legg Mason Emerging Markets Diversified Core ETF	n/a	$13.47
TRVN	Trevena, Inc.	Major Pharmaceuticals	$37.33
NHF	Highland Funds I	n/a	$25.43
LEN.B	Lennar Corporation	Homebuilding	$40.48
BLKB	Blackbaud, Inc.	Computer Software: Prepackaged Software	$43.45
EIG	Employers Holdings Inc	Property-Casualty Insurers	$20.26
VWR	VWR Corporation	Diversified Electronic Products	$28.79
MMSI	Merit Medical Systems, Inc.	Medical/Dental Instruments	$42.26
CTY	Qwest Corporation	Telecommunications Equipment	$11.72
ESGU	iShares MSCI USA ESG Optimized ETF	n/a	$34.95
SNY	Sanofi	Major Pharmaceuticals	$47.65
SVVC	Firsthand Technology Value Fund, Inc.	n/a	$46.52
PSCE	PowerShares S&P SmallCap Energy Portfolio	n/a	$10.98
SNP	China Petroleum & Chemical Corporation	Integrated oil Companies	$21.92
TRS	TriMas Corporation	Industrial Specialties	$28.91
EQCO	Equity Commonwealth	Real Estate Investment Trusts	$40.37
ETE	Energy Transfer Equity, L.P.	Natural Gas Distribution	$41.79
SANW	S&W Seed Company	Farming/Seeds/Milling	$24.69
ALR^B	Alere Inc.	n/a	$19.86
ATEN	A10 Networks, Inc.	Computer Communications Equipment	$47.59
MUA	Blackrock MuniAssets Fund, Inc.	n/a	$14.32
SINA	Sina Corporation	Computer Software: Prepackaged Software	$20.26
CPS	Cooper-Standard Holdings Inc.	Auto Parts:O.E.M.	$15.85
GS^K	Goldman Sachs Group, Inc. (The)	n/a	$43.05
NBB	Nuveen Build America Bond Fund	n/a	$39.94
PSCE	PowerShares S&P SmallCap Energy Portfolio	n/a	$26.04
CPA	Copa Holdings, S.A.	Air Freight/Delivery Services	$31.94
GLUU	Glu Mobile Inc.	EDP Services	$17.18
CHEKW	Check-Cap Ltd.	Medical Electronics	$31.14
MTP	Midatech Pharma PLC	Major Pharmaceuticals	$31.12
CCN	CardConnect Corp.	Business Services	$17.13
SCX	L.S. Starrett Company (The)	Industrial Machinery/Components	$34.25
JBT	John Bean Technologies Corporation	Industrial Machinery/Components	$44.35
PAGG	PowerShares Global Agriculture Portfolio	n/a	$33.86
MOG.A	Moog Inc.	n/a	$35.42
TEAR	TearLab Corporation	Medical/Dental Instruments	$44.83
AYX	Alteryx, Inc.	Computer Software: Prepackaged Software	$16.20
UIS	Unisys Corporation	EDP Services	$18.96
GLDD	Great Lakes Dredge & Dock Corporation	Military/Government/Technical	$25.54
MSA	MSA Safety Incorporporated	Industrial Specialties	$30.79
CENTA	Central Garden & Pet Company	Consumer Specialties	$44.80
VR	Validus Holdings, Ltd.	Property-Casualty Insurers	$25.07
GLYC	GlycoMimetics, Inc.	Major Pharmaceuticals	$20.61
ICE	Intercontinental Exchange Inc.	Investment Bankers/Brokers/Service	$29.11
CERU	Cerulean Pharma Inc.	Major Pharmaceuticals	$29.41
PUI	PowerShares DWA Utilities Momentum Portfolio	n/a	$18.70
DYN.WS.A	Dynegy Inc.	n/a	$20.87
JQC	Nuveen Credit Strategies Income Fund	n/a	$42.36
CHU	China Unicom (Hong Kong) Ltd	Telecommunications Equipment	$31.67
GSM	Ferroglobe PLC	Metal Fabrications	$31.20
MDCA	MDC Partners Inc.	Advertising	$34.29
CBIO	Catalyst Biosciences, Inc. 	Major Pharmaceuticals	$49.85
VSDA	VictoryShares Dividend Accelerator ETF	n/a	$10.34
ICLN	iShares S&P Global Clean Energy Index Fund	n/a	$23.74
VTGN	VistaGen Therapeutics, Inc.	Major Pharmaceuticals	$12.20
SPAR	Spartan Motors, Inc.	Auto Manufacturing	$38.97
FMY	First Trust	n/a	$42.13
YLDE	ClearBridge Dividend Strategy ESG ETF	n/a	$10.55
EHIC	eHi Car Services Limited	Rental/Leasing Companies	$17.58
PNC.WS	PNC Financial Services Group, Inc. (The)	n/a	$38.69
TROX	Tronox Limited	Major Chemicals	$42.23
TCF^B	TCF Financial Corporation	n/a	$29.50
UDR	United Dominion Realty Trust, Inc.	Real Estate Investment Trusts	$49.33
IGT	International Game Technology	Services-Misc. Amusement & Recreation	$25.84
TNH	Terra Nitrogen Company, L.P.	Agricultural Chemicals	$44.20
PER	SandRidge Permian Trust	Oil & Gas Production	$39.11
HK	Halcon Resources Corporation	Oil & Gas Production	$40.55
HTBX	Heat Biologics, Inc.	Major Pharmaceuticals	$13.64
ZB^H	Zions Bancorporation	n/a	$18.32
MTN	Vail Resorts, Inc.	Services-Misc. Amusement & Recreation	$23.75
MNI	McClatchy Company (The)	Newspapers/Magazines	$14.14
NBL	Noble Energy Inc.	Oil & Gas Production	$32.81
HPP	Hudson Pacific Properties, Inc.	Real Estate	$47.84
ITI	Iteris, Inc.	Telecommunications Equipment	$32.16
SCD	LMP Capital and Income Fund Inc.	n/a	$32.51
CARS	Cars.com Inc.	EDP Services	$20.21
TVC	Tennessee Valley Authority	Electric Utilities: Central	$20.54
EACQW	Easterly Acquisition Corp.	Building Products	$12.71
ONTXW	Onconova Therapeutics, Inc.	Major Pharmaceuticals	$43.87
FMCIR	Forum Merger Corporation	Business Services	$34.24
THFF	First Financial Corporation Indiana	Major Banks	$26.64
VTTI	VTTI Energy Partners LP	Oil Refining/Marketing	$11.32
JEQ	Aberdeen Japan Equity Fund, Inc. 	n/a	$34.39
WSTL	Westell Technologies, Inc.	Telecommunications Equipment	$35.84
GBLIL	Global Indemnity Limited	Property-Casualty Insurers	$49.78
ELY	Callaway Golf Company	Recreational Products/Toys	$13.29
AHL^C	Aspen Insurance Holdings Limited	n/a	$35.63
RWT	Redwood Trust, Inc.	Real Estate Investment Trusts	$49.55
WLK	Westlake Chemical Corporation	Major Chemicals	$34.18
SVRA	Savara, Inc.	Major Pharmaceuticals	$15.90
EE	El Paso Electric Company	Electric Utilities: Central	$11.02
BGR	BlackRock Energy and Resources Trust	n/a	$24.96
MMDMR	Modern Media Acquisition Corp.	Business Services	$49.80
PDCO	Patterson Companies, Inc.	Medical Specialities	$49.42
KMPA	Kemper Corporation	Property-Casualty Insurers	$48.31
ASMB	Assembly Biosciences, Inc.	Major Pharmaceuticals	$48.40
LZB	La-Z-Boy Incorporated	Home Furnishings	$19.67
KRO	Kronos Worldwide Inc	Major Chemicals	$26.44
SLMBP	SLM Corporation	Finance: Consumer Services	$47.72
QDEL	Quidel Corporation	Biotechnology: In Vitro & In Vivo Diagnostic Substances	$48.99
CUBS	Customers Bancorp, Inc	Major Banks	$32.89
BANC^C	Banc of California, Inc.	n/a	$26.98
HYND	WisdomTree Negative Duration High Yield Bond Fund	n/a	$27.04
FLDM	Fluidigm Corporation	Biotechnology: Laboratory Analytical Instruments	$23.61
CELH	Celsius Holdings, Inc.	Beverages (Production/Distribution)	$12.83
AMRI	Albany Molecular Research, Inc.	Biotechnology: Commercial Physical & Biological Resarch	$41.25
SID	National Steel Company	Steel/Iron Ore	$24.48
DS^D	Drive Shack Inc.	n/a	$30.30
IOSP	Innospec Inc.	Major Chemicals	$15.57
GNTY	Guaranty Bancshares, Inc.	Major Banks	$14.76
MEDP	Medpace Holdings, Inc.	Biotechnology: Commercial Physical & Biological Resarch	$47.07
SONS	Sonus Networks, Inc.	EDP Services	$14.93
ATH	Athene Holding Ltd.	Life Insurance	$33.00
FALC	FalconStor Software, Inc.	Computer Software: Prepackaged Software	$23.96
CIVB	Civista Bancshares, Inc. 	Major Banks	$31.75
FORTY	Formula Systems (1985) Ltd.	EDP Services	$15.26
ICCC	ImmuCell Corporation	Biotechnology: In Vitro & In Vivo Diagnostic Substances	$15.25
ALIM	Alimera Sciences, Inc.	Major Pharmaceuticals	$15.77
LYV	Live Nation Entertainment, Inc.	Services-Misc. Amusement & Recreation	$24.00
CRAY	Cray Inc	Computer Manufacturing	$21.81
CXH	Colonial Investment Grade Municipal Trust	n/a	$45.07
HEP	Holly Energy Partners, L.P.	Natural Gas Distribution	$27.31
WLB	Westmoreland Coal Company	Coal Mining	$27.41
ATI	Allegheny Technologies Incorporated	Steel/Iron Ore	$15.53
IFEU	iShares FTSE EPRA/NAREIT Europe Index Fund	n/a	$21.70
HMTA	HomeTown Bankshares Corporation	Major Banks	$29.37
UTSI	UTStarcom Holdings Corp	Telecommunications Equipment	$31.88
PVAC	Penn Virginia Corporation	Oil & Gas Production	$10.27
DOW	Dow Chemical Company (The)	Major Chemicals	$14.89
TUES	Tuesday Morning Corp.	Department/Specialty Retail Stores	$20.52
MLM	Martin Marietta Materials, Inc.	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	$20.63
EFC	Ellington Financial LLC	Real Estate	$42.42
IP	International Paper Company	Paper	$19.10
NAV	Navistar International Corporation	Auto Manufacturing	$13.26
PHG	Koninklijke Philips N.V.	Consumer Electronics/Appliances	$11.40
LECO	Lincoln Electric Holdings, Inc.	Industrial Machinery/Components	$42.17
AMH^A	American Homes 4 Rent	Real Estate Investment Trusts	$43.82
IESC	IES Holdings, Inc.	Engineering & Construction	$35.42
COTV	Cotiviti Holdings, Inc.	Business Services	$48.47
GFF	Griffon Corporation	Building Products	$24.34
MUE	Blackrock MuniHoldings Quality Fund II, Inc.	n/a	$15.34
HPQ	HP Inc.	Computer Manufacturing	$36.12
MMLP	Martin Midstream Partners L.P.	Oil Refining/Marketing	$48.85
DIS	Walt Disney Company (The)	Television Services	$40.56
BWXT	BWX Technologies, Inc.	Industrial Machinery/Components	$30.37
RELV	Reliv' International, Inc.	Major Pharmaceuticals	$19.37
FBC	Flagstar Bancorp, Inc.	Savings Institutions	$45.52
TRST	TrustCo Bank Corp NY	Major Banks	$25.67
KAMN	Kaman Corporation	Industrial Specialties	$45.78
ZBRA	Zebra Technologies Corporation	Industrial Machinery/Components	$43.32
XHR	Xenia Hotels & Resorts, Inc.	Hotels/Resorts	$35.14
MPAA	Motorcar Parts of America, Inc.	Auto Parts:O.E.M.	$24.87
SBNB	Scorpio Tankers Inc.	Marine Transportation	$18.68
CZR	Caesars Entertainment Corporation	Hotels/Resorts	$40.71
CHE	Chemed Corp.	Medical/Nursing Services	$11.27
CBPX	Continental Building Products, Inc.	Building Materials	$47.88
UNTY	Unity Bancorp, Inc.	Major Banks	$10.60
RGT	Royce Global Value Trust, Inc.	n/a	$25.11
HTGX	Hercules Capital, Inc.	n/a	$38.74
BYFC	Broadway Financial Corporation	Savings Institutions	$47.58
GBX	Greenbrier Companies, Inc. (The)	Railroads	$15.81
MO	Altria Group	Farming/Seeds/Milling	$34.07
AAN	Aaron's,  Inc.	Diversified Commercial Services	$28.54
KKR	KKR & Co. L.P.	Investment Managers	$22.38
SCZ	iShares MSCI EAFE Small-Cap ETF	n/a	$27.99
AZRE	Azure Power Global Limited	Electric Utilities: Central	$41.89
SNOA	Sonoma Pharmaceuticals, Inc.	Major Pharmaceuticals	$12.07
NUS	Nu Skin Enterprises, Inc.	Other Pharmaceuticals	$13.40
ARA	American Renal Associates Holdings, Inc	Hospital/Nursing Management	$11.46
MHO	M/I Homes, Inc.	Homebuilding	$46.79
SN	Sanchez Energy Corporation	Oil & Gas Production	$34.66
CSWI	CSW Industrials, Inc.	Home Furnishings	$16.29
CXW	CoreCivic, Inc.	Real Estate Investment Trusts	$22.41
DCO	Ducommun Incorporated	Military/Government/Technical	$12.96
DCT	DCT Industrial Trust Inc	Real Estate Investment Trusts	$47.78
HTLD	Heartland Express, Inc.	Trucking Freight/Courier Services	$38.80
QSII	Quality Systems, Inc.	EDP Services	$19.62
IQI	Invesco Quality Municipal Income Trust	n/a	$46.81
GOODP	Gladstone Commercial Corporation	Real Estate	$32.58
USOI	Credit Suisse AG	Investment Bankers/Brokers/Service	$44.47
CSLT	Castlight Health, inc.	EDP Services	$24.82
AHPAU	Avista Healthcare Public Acquisition Corp.	Business Services	$27.57
ICON	Iconix Brand Group, Inc.	Shoe Manufacturing	$31.29
SHLM	A. Schulman, Inc.	Major Chemicals	$27.80
AIY	Apollo Investment Corporation	n/a	$12.51
QQXT	First Trust NASDAQ-100 Ex-Technology Sector Index Fund	n/a	$17.37
CRAI	CRA International,Inc.	Other Consumer Services	$16.69
VSTM	Verastem, Inc.	Major Pharmaceuticals	$18.66
GAB^H	Gabelli Equity Trust, Inc. (The)	n/a	$41.34
CVG	Convergys Corporation	EDP Services	$27.09
BKN	BlackRock Investment Quality Municipal Trust Inc. (The)	n/a	$33.11
